City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,severnoye,56.3491,78.3619,23.92,51,39,5.11,RU,1690268895
1,badger,64.8,-147.5333,23.95,68,75,0.0,US,1690268895
2,port-aux-francais,-49.35,70.2167,3.07,65,100,6.55,TF,1690268896
3,polyarnyy,69.1989,33.4478,10.36,94,100,3.17,RU,1690268896
4,constantia,44.1833,28.65,29.38,53,10,7.18,RO,1690268645
5,puerto natales,-51.7236,-72.4875,-5.09,94,100,0.63,CL,1690268897
6,shingu,33.7333,135.9833,29.82,73,13,3.16,JP,1690268897
7,ilulissat,69.2167,-51.1,4.01,93,100,2.57,GL,1690268898
8,nueva helvecia,-34.3,-57.2333,5.92,96,3,4.45,UY,1690268898
9,puerto ayora,-0.7393,-90.3518,24.75,95,100,1.79,EC,1690268899
10,rongelap,11.1635,166.8941,28.67,78,100,7.33,MH,1690268899
11,waitangi,-43.9535,-176.5597,10.46,98,100,1.34,NZ,1690268899
12,papatowai,-46.5619,169.4708,6.67,81,34,8.34,NZ,1690268900
13,anadyr,64.75,177.4833,11.67,81,75,8.94,RU,1690268900
14,margaret river,-33.95,115.0667,14.43,89,100,4.15,AU,1690268901
15,port alfred,-33.5906,26.891,12.98,51,0,3.18,ZA,1690268901
16,edinburgh of the seven seas,-37.0676,-12.3116,14.95,82,100,16.53,SH,1690268902
17,awjilah,29.1081,21.2869,33.87,21,0,4.42,LY,1690268902
18,muroto-misakicho,33.2833,134.15,28.78,76,2,3.78,JP,1690268902
19,road town,18.4167,-64.6167,28.39,77,55,9.69,VG,1690268632
20,isafjordur,66.0755,-23.124,11.02,87,100,1.54,IS,1690268903
21,petropavlovsk-kamchatsky,53.0452,158.6483,22.1,56,75,5.0,RU,1690268904
22,whitehorse,60.7161,-135.0538,15.73,74,100,1.79,CA,1690268904
23,saint-joseph,-21.3667,55.6167,25.82,74,20,3.02,RE,1690268904
24,medyn',54.9692,35.8586,19.5,80,100,2.49,RU,1690268905
25,roudnice nad labem,50.4253,14.2618,20.9,76,100,2.8,CZ,1690268905
26,bilibino,68.0546,166.4372,11.87,89,100,0.61,RU,1690268906
27,minas de marcona,-15.2119,-75.1103,11.99,89,16,4.05,PE,1690268906
28,grytviken,-54.2811,-36.5092,-2.98,80,16,5.33,GS,1690268907
29,keuruu,62.2667,24.7,16.1,83,100,0.62,FI,1690268907
30,tosontsengel,48.7567,98.2839,19.19,34,100,6.46,MN,1690268907
31,kristiansund,63.1115,7.732,14.03,88,75,4.63,NO,1690268908
32,talara,-4.5772,-81.2719,21.32,84,3,6.64,PE,1690268909
33,adamstown,-25.066,-130.1015,20.7,73,85,3.36,PN,1690268909
34,glace bay,46.1969,-59.957,20.43,95,100,0.89,CA,1690268910
35,hawaiian paradise park,19.5933,-154.9731,24.73,96,40,2.06,US,1690268910
36,tarauaca,-8.1614,-70.7656,22.35,69,70,0.52,BR,1690268911
37,tual,-5.6667,132.75,24.48,78,100,10.3,ID,1690268911
38,invercargill,-46.4,168.35,7.15,77,100,8.77,NZ,1690268912
39,yellowknife,62.456,-114.3525,20.87,52,100,5.81,CA,1690268912
40,al mindak,20.1588,41.2834,28.97,13,32,3.54,SA,1690268913
41,nuuk,64.1835,-51.7216,8.34,76,0,6.17,GL,1690268914
42,georgetown,5.4112,100.3354,32.96,62,20,4.12,MY,1690268914
43,ginir,7.1333,40.7,20.83,58,8,2.85,ET,1690268914
44,plymouth,41.8334,-70.8328,22.59,89,75,2.57,US,1690268915
45,keyser,39.4409,-78.9739,19.41,94,74,1.16,US,1690268915
46,remire-montjoly,4.9167,-52.2667,23.02,100,65,0.0,GF,1690268916
47,nova sintra,14.8667,-24.7167,22.27,84,100,7.85,CV,1690268916
48,cidreira,-30.1811,-50.2056,17.31,99,100,2.63,BR,1690268917
49,hamilton,39.1834,-84.5333,20.42,94,20,1.54,US,1690268673
50,tiksi,71.6872,128.8694,5.38,74,47,3.11,RU,1690268917
51,jamestown,42.097,-79.2353,17.77,89,0,2.06,US,1690268918
52,novodvinsk,64.4165,40.8122,19.37,53,95,2.32,RU,1690268918
53,twon-brass,4.3151,6.2418,25.91,81,89,3.39,NG,1690268919
54,chamical,-30.36,-66.314,8.76,66,100,2.39,AR,1690268919
55,les anglais,18.3054,-74.2197,26.47,82,93,2.11,HT,1690268919
56,aripuana,-9.1667,-60.6333,19.85,59,8,0.84,BR,1690268920
57,margate,51.3813,1.3862,16.5,71,68,2.68,GB,1690268920
58,namibe,-15.1961,12.1522,17.2,85,99,1.45,AO,1690268921
59,howrah,22.5892,88.3103,33.0,70,75,4.12,IN,1690268649
60,avarua,-21.2078,-159.775,22.03,73,100,2.06,CK,1690268921
61,jiaozuo,35.2397,113.2331,39.59,27,5,4.72,CN,1690268922
62,itoman,26.1247,127.6694,32.01,66,75,9.26,JP,1690268922
63,port lincoln,-34.7333,135.8667,14.05,71,0,3.88,AU,1690268923
64,flying fish cove,-10.4217,105.6791,25.82,78,75,5.14,CX,1690268923
65,dalandzadgad,43.5708,104.425,31.91,15,76,7.26,MN,1690268894
66,bethel,41.3712,-73.414,23.28,80,0,0.0,US,1690268924
67,booue,-0.0921,11.9385,24.56,78,18,1.42,GA,1690268924
68,la maddalena,41.2142,9.4083,31.03,79,59,10.64,IT,1690268925
69,tazovsky,67.4667,78.7,20.27,65,100,4.28,RU,1690268807
70,lata,40.1629,-8.3327,14.49,88,28,1.17,PT,1690268926
71,chonchi,-42.6128,-73.8092,7.84,94,100,3.58,CL,1690268926
72,lebu,-37.6167,-73.65,11.23,86,100,5.75,CL,1690268927
73,trairi,-3.2778,-39.2689,23.39,86,31,4.0,BR,1690268733
74,port elizabeth,-33.918,25.5701,8.16,87,0,1.03,ZA,1690268928
75,lihue,21.9789,-159.3672,27.58,86,100,6.17,US,1690268928
76,sao joao da barra,-21.6403,-41.0511,20.3,90,4,3.13,BR,1690268824
77,cururupu,-1.8283,-44.8683,22.89,95,2,0.82,BR,1690268929
78,udachny,66.4167,112.4,21.81,48,99,2.08,RU,1690268929
79,lichinga,-13.3128,35.2406,18.05,63,20,5.14,MZ,1690268929
